,session_length,discount,user_id,successful,mean_price,min_price,max_price,mean_rating,min_rating,max_rating,prev_success_ratio,Gdynia,Kraków,Poznań,Radom,Szczecin,Warszawa,Wrocław
session_length,1.0,0.04924727064238112,-0.005154941199183158,0.10156690509927341,0.11035075956209851,-0.008098068990650584,0.21598153704076029,-0.04320179714637162,-0.508402781839846,0.4976215362039103,0.025434958217966708,-0.007342159479211593,0.00661868379830194,-0.01109691137160438,0.010954664151714439,-0.027341890601034695,0.020598193925847996,0.002006971894663858
discount,0.04924727064238112,1.0,0.0012599479705753596,0.43269169030844573,-0.005877956619020733,-0.004022449965705874,-0.0025289378111673323,-0.023369606871024004,-0.013705082291041623,-0.015144228003822589,0.0003335660883185937,0.00044952615823937625,-0.004848951719721294,-0.0029232996368785268,0.0006746570296729168,0.009362997956038096,0.0021905828300037814,-0.004651710324220695
user_id,-0.005154941199183158,0.0012599479705753596,1.0,-0.02537634087561161,-0.0012097913226733305,0.0027173060893284974,-0.003250218850062415,-0.0012711248689880866,-0.0014390915060439736,-0.0002863506011837888,-0.08708166554037663,-0.0464429026188986,-0.0863445503175219,0.07402638548931355,0.06548494930306309,0.11168243111334651,-0.035353029131605374,-0.07404069988559456
successful,0.10156690509927341,0.43269169030844573,-0.02537634087561161,1.0,-0.000617766469083056,0.006171868923434261,0.006585600850316935,-0.0037605798033859563,0.008683128943632105,-0.0018923134169735907,0.16375035205100474,-0.04435322686905215,0.023233232184124472,-0.13278133189081645,0.08713548669961671,-0.13907821509190246,0.09866025810885694,0.07520354323366854
mean_price,0.11035075956209851,-0.005877956619020733,-0.0012097913226733305,-0.000617766469083056,1.0,0.9224792807379735,0.9604193539763776,0.043846669062712486,-0.10476403237560952,0.2687857167057597,0.010283959862574797,-0.003119071589616416,0.005803959894049995,0.00032803263513163887,-0.0025265981577300223,-0.006677204641578872,-1.1828316685729651e-05,0.005758903725663226
min_price,-0.008098068990650584,-0.004022449965705874,0.0027173060893284974,0.006171868923434261,0.9224792807379735,1.0,0.8003999192309242,0.07314093958303351,-0.07572172159264683,0.2597398200435638,0.009307531883370914,-0.0032755443097505104,0.005497752965424457,-0.0032818796303394453,-0.0032012041778251873,-0.002539324430509452,0.00011042801521228484,0.00642755116195837
max_price,0.21598153704076029,-0.0025289378111673323,-0.003250218850062415,0.006585600850316935,0.9604193539763776,0.8003999192309242,1.0,0.031483891220340295,-0.15122736648509466,0.29891682408642534,0.01040074240296404,-0.00214820336460208,0.005106019154387514,0.0016746061112639988,0.00025301853618681384,-0.009969513008314041,-5.523229058822075e-05,0.004423557455515772
mean_rating,-0.04320179714637162,-0.023369606871024004,-0.0012711248689880866,-0.0037605798033859563,0.043846669062712486,0.07314093958303351,0.031483891220340295,1.0,0.6975316954590411,0.6091813228626826,0.005781169073990066,-0.004243864810595552,0.0010013378732238304,0.009508906202337642,0.0028720545533480043,-0.006939556466530959,0.00035650125148814065,-0.003095204789639548
min_rating,-0.508402781839846,-0.013705082291041623,-0.0014390915060439736,0.008683128943632105,-0.10476403237560952,-0.07572172159264683,-0.15122736648509466,0.6975316954590411,1.0,-0.0446781155192712,-0.001047404734309548,-0.0029723433103934337,-0.0027702948584107235,0.004615707765840677,0.003440378785085871,0.002691155768873917,-0.005479565626193369,0.0011833825352915255
max_rating,0.4976215362039103,-0.015144228003822589,-0.0002863506011837888,-0.0018923134169735907,0.2687857167057597,0.2597398200435638,0.29891682408642534,0.6091813228626826,-0.0446781155192712,1.0,0.01317705963783596,-0.004560932226815022,0.0048763876506927265,0.005847380113952768,0.006489890380365086,-0.015384767689667345,0.007580947425251313,-0.007151542097353684
prev_success_ratio,0.025434958217966708,0.0003335660883185937,-0.08708166554037663,0.16375035205100474,0.010283959862574797,0.009307531883370914,0.01040074240296404,0.005781169073990066,-0.001047404734309548,0.01317705963783596,1.0,-0.11653057683931388,0.03552093985950522,-0.41543904345655636,0.28353691068588915,-0.4431428652278884,0.3535346915867256,0.19665061070659454
Gdynia,-0.007342159479211593,0.00044952615823937625,-0.0464429026188986,-0.04435322686905215,-0.003119071589616416,-0.0032755443097505104,-0.00214820336460208,-0.004243864810595552,-0.0029723433103934337,-0.004560932226815022,-0.11653057683931388,1.0,-0.15300549218114026,-0.14729181287681614,-0.16430734244190487,-0.13968433112647835,-0.18303648632986655,-0.15393384948566452
