session_length,discount,user_id,successful,mean_price,min_price,max_price,mean_rating,min_rating,max_rating,prev_success_ratio
701,20,102,1,327.59,14.99,1303.96,1.56,0.4,4.6,0.0
992,0,102,0,4238.5,1998.14,7639.0,2.09,0.1,4.8,1.0
1622,0,102,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.5
143,0,102,1,553.0,553.0,553.0,4.7,4.7,4.7,0.33
685,10,102,1,221.96,86.28,327.47,2.3,0.9,3.8,0.5
58,0,102,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.6
136,0,102,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.5
260,0,102,0,217.35,86.28,327.47,2.46,0.9,3.8,0.43
35,20,102,1,99.99,99.99,99.99,0.5,0.5,0.5,0.38
364,0,102,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.44
1670,0,102,1,41.27,17.9,78.9,2.61,0.0,4.7,0.4
57,0,102,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.45
1625,10,102,1,4340.55,1998.14,7639.0,2.05,0.1,4.8,0.42
0,0,102,0,553.0,553.0,553.0,4.7,4.7,4.7,0.46
47,15,102,1,553.0,553.0,553.0,4.7,4.7,4.7,0.43
136,0,102,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.47
1402,0,102,0,79.78,49.99,139.99,2.55,0.4,4.3,0.44
1268,10,102,0,87.63,59.9,129.0,1.97,0.3,4.5,0.41
0,0,102,0,99.99,99.99,99.99,0.5,0.5,0.5,0.39
179,0,102,0,151.0,109.0,193.0,0.55,0.1,1.0,0.37
0,0,102,0,99.99,99.99,99.99,0.5,0.5,0.5,0.35
1250,0,102,0,4238.5,1998.14,7639.0,2.09,0.1,4.8,0.33
0,0,102,0,99.99,99.99,99.99,0.5,0.5,0.5,0.32
1104,10,102,0,87.63,59.9,129.0,1.97,0.3,4.5,0.3
1618,0,102,0,114.17,44.99,189.0,1.37,0.2,3.7,0.29
143,0,102,1,58.97,58.97,58.97,2.7,2.7,2.7,0.28
195,10,102,0,151.0,109.0,193.0,0.55,0.1,1.0,0.31
114,15,102,1,69.5,64.8,78.9,3.2,0.4,4.6,0.3
240,0,102,1,221.96,86.28,327.47,2.3,0.9,3.8,0.32
1172,0,102,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.34
964,0,102,0,87.63,59.9,129.0,1.97,0.3,4.5,0.33
0,0,102,0,553.0,553.0,553.0,4.7,4.7,4.7,0.32
1238,0,102,0,87.63,59.9,129.0,1.97,0.3,4.5,0.31
1139,0,102,0,79.78,49.99,139.99,2.55,0.4,4.3,0.3
1774,0,102,1,4340.55,1998.14,7639.0,2.05,0.1,4.8,0.29
1152,10,102,1,88.87,59.9,129.0,1.93,0.3,4.5,0.31
540,20,102,1,165.0,109.0,193.0,0.7,0.1,1.0,0.33
97,20,102,1,58.97,58.97,58.97,2.7,2.7,2.7,0.35
201,0,102,0,151.0,109.0,193.0,0.55,0.1,1.0,0.37
190,5,102,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.36
1841,5,102,1,84.35,49.99,139.99,2.71,0.4,4.3,0.35
160,20,102,1,99.99,99.99,99.99,0.5,0.5,0.5,0.37
1031,0,102,1,221.96,86.28,327.47,2.3,0.9,3.8,0.38
194,0,102,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.4
1474,0,102,0,43.4,17.9,78.9,2.4,0.0,4.7,0.39
0,0,102,0,99.99,99.99,99.99,0.5,0.5,0.5,0.38
1083,15,102,1,84.35,49.99,139.99,2.71,0.4,4.3,0.37
332,10,102,1,871.52,207.33,2199.9,2.6,2.5,2.8,0.38
1143,15,102,1,41.27,17.9,78.9,2.61,0.0,4.7,0.4
817,0,102,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.41
1009,0,102,0,79.78,49.99,139.99,2.55,0.4,4.3,0.4
780,0,102,0,217.35,86.28,327.47,2.46,0.9,3.8,0.39
1324,0,102,0,114.17,44.99,189.0,1.37,0.2,3.7,0.38
1344,0,102,0,43.4,17.9,78.9,2.4,0.0,4.7,0.38
0,0,102,0,99.99,99.99,99.99,0.5,0.5,0.5,0.37
30,0,102,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.36
1453,0,102,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.36
403,10,102,1,69.5,64.8,78.9,3.2,0.4,4.6,0.35
715,0,102,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.36
1445,10,102,1,84.35,49.99,139.99,2.71,0.4,4.3,0.36
1261,0,102,0,87.63,59.9,129.0,1.97,0.3,4.5,0.37
0,0,102,0,553.0,553.0,553.0,4.7,4.7,4.7,0.36
1414,5,102,1,88.87,59.9,129.0,1.93,0.3,4.5,0.35
1657,0,102,0,114.17,44.99,189.0,1.37,0.2,3.7,0.37
0,0,102,0,58.97,58.97,58.97,2.7,2.7,2.7,0.36
1253,0,102,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.35
244,0,102,0,71.85,64.8,78.9,2.5,0.4,4.6,0.35
87,10,102,1,58.97,58.97,58.97,2.7,2.7,2.7,0.34
158,0,102,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.35
291,0,102,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.35
1611,0,102,0,114.17,44.99,189.0,1.37,0.2,3.7,0.34
608,20,102,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.34
0,0,102,0,553.0,553.0,553.0,4.7,4.7,4.7,0.33
91,20,102,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.33
0,0,102,0,58.97,58.97,58.97,2.7,2.7,2.7,0.32
1788,15,102,1,88.87,59.9,129.0,1.93,0.3,4.5,0.32
1109,0,102,0,4238.5,1998.14,7639.0,2.09,0.1,4.8,0.33
233,0,102,1,2150.34,1816.97,2317.02,1.53,0.2,4.2,0.32
544,0,102,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.33
956,0,102,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.33
695,0,102,0,217.35,86.28,327.47,2.46,0.9,3.8,0.33
158,0,102,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.32
415,5,102,1,165.0,109.0,193.0,0.7,0.1,1.0,0.32
880,0,102,0,217.35,86.28,327.47,2.46,0.9,3.8,0.33
1846,20,102,1,84.35,49.99,139.99,2.71,0.4,4.3,0.32
1310,0,102,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.33
436,5,102,1,165.0,109.0,193.0,0.7,0.1,1.0,0.33
1244,5,102,1,84.35,49.99,139.99,2.71,0.4,4.3,0.33
1486,0,102,0,114.17,44.99,189.0,1.37,0.2,3.7,0.34
1256,0,102,0,87.63,59.9,129.0,1.97,0.3,4.5,0.34
1098,0,102,0,87.63,59.9,129.0,1.97,0.3,4.5,0.33
52,20,102,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.33
1055,0,102,0,4238.5,1998.14,7639.0,2.09,0.1,4.8,0.33
178,5,102,1,871.52,207.33,2199.9,2.6,2.5,2.8,0.32
898,10,102,1,4340.55,1998.14,7639.0,2.05,0.1,4.8,0.33
1347,0,102,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.34
273,0,102,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.33
386,0,102,0,217.35,86.28,327.47,2.46,0.9,3.8,0.33
22,0,102,0,151.0,109.0,193.0,0.55,0.1,1.0,0.33
1178,15,102,1,4340.55,1998.14,7639.0,2.05,0.1,4.8,0.32
0,0,102,0,553.0,553.0,553.0,4.7,4.7,4.7,0.33
266,15,102,0,71.85,64.8,78.9,2.5,0.4,4.6,0.33
11,0,102,0,71.85,64.8,78.9,2.5,0.4,4.6,0.32
0,0,102,0,553.0,553.0,553.0,4.7,4.7,4.7,0.32
50,0,102,0,71.85,64.8,78.9,2.5,0.4,4.6,0.32
99,0,102,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.31
872,0,102,0,87.63,59.9,129.0,1.97,0.3,4.5,0.31
1184,0,102,0,79.78,49.99,139.99,2.55,0.4,4.3,0.31
1404,15,102,1,84.35,49.99,139.99,2.71,0.4,4.3,0.31
1434,0,102,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.31
1242,0,102,0,79.78,49.99,139.99,2.55,0.4,4.3,0.31
161,10,102,1,553.0,553.0,553.0,4.7,4.7,4.7,0.31
371,15,102,1,327.59,14.99,1303.96,1.56,0.4,4.6,0.31
992,15,102,0,87.63,59.9,129.0,1.97,0.3,4.5,0.32
1262,20,102,0,79.78,49.99,139.99,2.55,0.4,4.3,0.32
520,20,102,1,327.59,14.99,1303.96,1.56,0.4,4.6,0.31
1721,5,102,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.32
175,20,102,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.32
97,15,102,1,69.5,64.8,78.9,3.2,0.4,4.6,0.31
542,0,102,0,217.35,86.28,327.47,2.46,0.9,3.8,0.32
103,15,102,1,165.0,109.0,193.0,0.7,0.1,1.0,0.32
0,0,102,0,99.99,99.99,99.99,0.5,0.5,0.5,0.32
547,0,102,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.32
441,20,102,1,871.52,207.33,2199.9,2.6,2.5,2.8,0.32
