session_length,discount,user_id,successful,mean_price,min_price,max_price,mean_rating,min_rating,max_rating,prev_success_ratio,category_Akcesoria_telefoniczne,category_Anteny_RTV,category_Audio,category_Biurowe_urządzenia_wielofunkcyjne,category_Drukarki_i_skanery,category_Gry_PlayStation3,category_Gry_Xbox_360,category_Gry_i_konsole,category_Gry_komputerowe,category_Gry_na_konsole,category_Komputery,category_Monitory,category_Monitory_LCD,category_Odtwarzacze_DVD,category_Odtwarzacze_mp3_i_mp4,category_Okulary_3D,category_Przenośne_audio_i_video,category_Sprzęt_RTV,category_Słuchawki,category_Tablety,category_Tablety_i_akcesoria,category_Telefony_i_akcesoria,category_Telefony_komórkowe,category_Telefony_stacjonarne,category_Telewizory_i_akcesoria,category_Video,category_Zestawy_głośnomówiące,category_Zestawy_słuchawkowe,Gdynia,Kraków,Poznań,Radom,Szczecin,Warszawa,Wrocław
701,20,102,1,327.59,14.99,1303.96,1.56,0.4,4.6,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,1,0
992,0,102,0,4238.5,1998.14,7639.0,2.09,0.1,4.8,1.0,0,0,0,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1622,0,102,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.5,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
143,0,102,1,553.0,553.0,553.0,4.7,4.7,4.7,0.33,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
685,10,102,1,221.96,86.28,327.47,2.3,0.9,3.8,0.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,1,0
58,0,102,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
136,0,102,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0
260,0,102,0,217.35,86.28,327.47,2.46,0.9,3.8,0.43,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,1,0
35,20,102,1,99.99,99.99,99.99,0.5,0.5,0.5,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0
364,0,102,0,405.74,14.99,1303.96,1.8,0.4,4.6,0.44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,1,0
1670,0,102,1,41.27,17.9,78.9,2.61,0.0,4.7,0.4,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,0,102,0,1203.62,207.33,2199.9,2.65,2.5,2.8,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0
1625,10,102,1,4340.55,1998.14,7639.0,2.05,0.1,4.8,0.42,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,102,0,553.0,553.0,553.0,4.7,4.7,4.7,0.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,15,102,1,553.0,553.0,553.0,4.7,4.7,4.7,0.43,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
136,0,102,0,2067.0,1816.97,2317.02,2.2,0.2,4.2,0.47,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1402,0,102,0,79.78,49.99,139.99,2.55,0.4,4.3,0.44,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1268,10,102,0,87.63,59.9,129.0,1.97,0.3,4.5,0.41,0,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,102,0,99.99,99.99,99.99,0.5,0.5,0.5,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
179,0,102,0,151.0,109.0,193.0,0.55,0.1,1.0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
0,0,102,0,99.99,99.99,99.99,0.5,0.5,0.5,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1250,0,102,0,4238.5,1998.14,7639.0,2.09,0.1,4.8,0.33,0,0,0,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,102,0,99.99,99.99,99.99,0.5,0.5,0.5,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1104,10,102,0,87.63,59.9,129.0,1.97,0.3,4.5,0.3,0,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1618,0,102,0,114.17,44.99,189.0,1.37,0.2,3.7,0.29,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,1,0
143,0,102,1,58.97,58.97,58.97,2.7,2.7,2.7,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0
195,10,102,0,151.0,109.0,193.0,0.55,0.1,1.0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
114,15,102,1,69.5,64.8,78.9,3.2,0.4,4.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
240,0,102,1,221.96,86.28,327.47,2.3,0.9,3.8,0.32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,1,0
1172,0,102,0,910.78,269.0,3029.0,2.53,0.0,4.7,0.34,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
964,0,102,0,87.63,59.9,129.0,1.97,0.3,4.5,0.33,0,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,102,0,553.0,553.0,553.0,4.7,4.7,4.7,0.32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1238,0,102,0,87.63,59.9,129.0,1.97,0.3,4.5,0.31,0,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1139,0,102,0,79.78,49.99,139.99,2.55,0.4,4.3,0.3,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1774,0,102,1,4340.55,1998.14,7639.0,2.05,0.1,4.8,0.29,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1152,10,102,1,88.87,59.9,129.0,1.93,0.3,4.5,0.31,0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
